image 0	Original (165, 35, 13)	Detected (165, 35, 14)
image 962	Original (198, 171, 40)	Detected (197, 170, 38)
image 963	Original (170, 120, 13)	Detected (170, 120, 14)
image 964	Original (12, 163, 16)	Detected (13, 163, 14)
image 965	Original (142, 91, 36)	Detected (142, 91, 37)
image 966	Original (11, 4, 10)	Detected (11, 5, 10)
image 967	Original (138, 146, 42)	Detected (138, 146, 43)
image 968	Original (109, 59, 21)	Detected (109, 59, 22)
image 969	Original (90, 43, 43)	Detected (90, 43, 42)
image 970	Original (163, 191, 44)	Detected (163, 190, 42)
image 971	Original (122, 36, 44)	Detected (122, 36, 45)
image 972	Original (151, 171, 24)	Detected (151, 171, 25)
image 973	Original (192, 167, 39)	Detected (189, 164, 37)
image 974	Original (108, 123, 49)	Detected (108, 123, 48)
image 975	Original (42, 6, 16)	Detected (42, 6, 17)
image 976	Original (198, 86, 42)	Detected (198, 86, 43)
image 977	Original (164, 81, 12)	Detected (164, 81, 13)
image 978	Original (1, 120, 34)	Detected (2, 120, 32)
image 979	Original (144, 40, 22)	Detected (144, 40, 23)
image 980	Original (145, 177, 27)	Detected (145, 177, 26)
image 981	Original (31, 196, 10)	Detected (31, 194, 10)
image 982	Original (21, 112, 20)	Detected (23, 111, 20)
image 983	Original (58, 1, 36)	Detected (58, 1, 37)
image 984	Original (109, 5, 19)	Detected (109, 5, 20)
image 985	Original (187, 39, 23)	Detected (187, 39, 24)
image 986	Original (122, 182, 14)	Detected (122, 182, 15)
image 987	Original (197, 87, 36)	Detected (197, 87, 37)
image 988	Original (13, 135, 22)	Detected (13, 135, 21)
image 989	Original (16, 144, 28)	Detected (16, 144, 29)
image 990	Original (42, 7, 45)	Detected (42, 7, 46)
image 991	Original (181, 197, 45)	Detected (153, 172, 10)
image 992	Original (191, 48, 33)	Detected (191, 48, 32)
image 993	Original (11, 129, 46)	Detected (11, 129, 47)
image 994	Original (114, 90, 43)	Detected (114, 90, 44)
image 995	Original (57, 78, 42)	Detected (57, 78, 43)
image 996	Original (127, 62, 32)	Detected (127, 62, 33)
image 997	Original (159, 193, 37)	Detected (159, 193, 38)
image 998	Original (144, 58, 41)	Detected (144, 58, 42)
image 999	Original (24, 9, 21)	Detected (24, 9, 22)

The IOU Precision AP@0.7 :
0.995
